Date,Open,High,Low,Close,Adj Close,Volume,Group
23/10/2013,18.535715,18.773928,18.535715,18.748571,16.494856,313723200,4
24/10/2013,18.75,19.016787,18.658928,18.996786,16.713234,384764800,4
25/10/2013,18.975714,19.043928,18.753929,18.784286,16.526279,337792000,4
28/10/2013,18.894285,18.964285,18.686071,18.924286,16.649445,550440800,4
29/10/2013,19.1525,19.258928,18.376429,18.452858,16.234688,635807200,4
30/10/2013,18.557501,18.84,18.465,18.746429,16.492973,354163600,4
31/10/2013,18.75,18.838928,18.616785,18.667856,16.423851,275696400,4
01/11/2013,18.715,18.742857,18.422857,18.5725,16.339945,274890000,4
04/11/2013,18.610714,18.815001,18.528929,18.8125,16.551104,244627600,4
05/11/2013,18.735001,18.888929,18.678572,18.766071,16.510256,265213200,4
06/11/2013,18.719643,18.745001,18.507143,18.604286,16.463482,223375600,4
07/11/2013,18.556429,18.685358,18.299286,18.303215,16.197052,262620400,4
08/11/2013,18.377857,18.611786,18.306786,18.591429,16.452099,279316800,4
11/11/2013,18.571072,18.631071,18.371786,18.5375,16.404383,227452400,4
12/11/2013,18.488214,18.711428,18.464285,18.571785,16.434713,204276800,4
13/11/2013,18.5,18.651785,18.462856,18.593929,16.454309,197220800,4
14/11/2013,18.671785,18.902857,18.638214,18.862858,16.692301,282419200,4
15/11/2013,18.806429,18.89607,18.731785,18.749643,16.592112,317920400,4
18/11/2013,18.749643,18.828215,18.507143,18.522499,16.391102,244944000,4
19/11/2013,18.536785,18.692142,18.498928,18.555357,16.420183,208938800,4
20/11/2013,18.543928,18.586428,18.368929,18.392857,16.276377,193916800,4
21/11/2013,18.485714,18.614643,18.345358,18.612143,16.470428,262026800,4
22/11/2013,18.554285,18.648571,18.518929,18.564285,16.428083,223725600,4
25/11/2013,18.607857,18.781071,18.607143,18.705,16.552599,229311600,4
26/11/2013,18.718571,19.147858,18.714285,19.049999,16.857903,401382800,4
27/11/2013,19.153929,19.5,19.049999,19.498571,17.254862,363448400,4
29/11/2013,19.624287,19.940357,19.564642,19.859642,17.574383,318127600,4
02/12/2013,19.928572,20.154642,19.672142,19.686787,17.421415,472544800,4
03/12/2013,19.939285,20.227858,19.917143,20.225714,17.898329,450968000,4
04/12/2013,20.196428,20.328215,20.029285,20.178572,17.856609,377809600,4
05/12/2013,20.451786,20.540714,20.22893,20.282143,17.948263,447580000,4
06/12/2013,20.206785,20.241072,19.984642,20.000713,17.699217,344352400,4
09/12/2013,20.032143,20.342142,20.032143,20.229643,17.9018,320493600,4
10/12/2013,20.127857,20.281429,20.042856,20.198214,17.873995,278269600,4
11/12/2013,20.25,20.391787,19.988928,20.048571,17.741573,359718800,4
12/12/2013,20.076429,20.190714,20.001072,20.019285,17.715654,262290000,4
13/12/2013,20.101786,20.102858,19.773928,19.801071,17.522547,332822000,4
16/12/2013,19.822144,20.094286,19.821785,19.910715,17.619577,282592800,4
17/12/2013,19.850357,19.98,19.763571,19.821072,17.540253,229902400,4
18/12/2013,19.632143,19.694643,19.242857,19.670357,17.406878,565863200,4
19/12/2013,19.625,19.642857,19.418928,19.445,17.207457,320308800,4
20/12/2013,19.479643,19.700357,19.457857,19.607857,17.351574,436413600,4
23/12/2013,20.285715,20.382856,20.098572,20.360357,18.017479,501306400,4
24/12/2013,20.353214,20.424286,20.215357,20.273928,17.940996,167554800,4
26/12/2013,20.289286,20.339285,20.120714,20.139286,17.821848,204008000,4
27/12/2013,20.136429,20.157499,19.982143,20.003214,17.701429,225884400,4
30/12/2013,19.909286,20.003214,19.725714,19.804285,17.525389,253629600,4
31/12/2013,19.791786,20.045713,19.785715,20.036428,17.730829,223084400,4
02/01/2014,19.845715,19.893929,19.715,19.754642,17.481461,234684800,5
03/01/2014,19.745001,19.775,19.301071,19.320715,17.097466,392467600,5
06/01/2014,19.194643,19.528572,19.057142,19.426071,17.190701,412610800,5
07/01/2014,19.440001,19.498571,19.211428,19.287144,17.067759,317209200,5
08/01/2014,19.243214,19.484285,19.238928,19.409286,17.175852,258529600,5
09/01/2014,19.528572,19.530714,19.119642,19.161428,16.956514,279148800,5
10/01/2014,19.279642,19.314285,18.968214,19.033571,16.843369,304976000,5
13/01/2014,18.925358,19.375,18.924286,19.133215,16.931541,378492800,5
14/01/2014,19.222143,19.526072,19.202143,19.513929,17.26845,332561600,5
15/01/2014,19.768572,20.007143,19.702143,19.905714,17.61515,391638800,5
16/01/2014,19.817858,19.887501,19.702858,19.794643,17.516863,229278000,5
17/01/2014,19.695715,19.716785,19.282143,19.309643,17.087673,426739600,5
21/01/2014,19.321072,19.645357,19.300714,19.609642,17.353151,328526800,5
22/01/2014,19.675358,19.903214,19.564642,19.696785,17.430267,379985200,5
23/01/2014,19.640715,19.875,19.4575,19.863571,17.577862,403239200,5
24/01/2014,19.785715,19.843571,19.455357,19.502501,17.258339,429354800,5
27/01/2014,19.645357,19.814285,19.491072,19.660715,17.398344,554878800,5
28/01/2014,18.17,18.392857,17.931072,18.089285,16.007742,1065523200,5
29/01/2014,17.998215,18.120358,17.807858,17.883928,15.826011,502810000,5
30/01/2014,17.947857,18.089285,17.739286,17.849285,15.795355,678501600,5
31/01/2014,17.684999,17.911785,17.626785,17.878571,15.821273,464797200,5
03/02/2014,17.950357,18.133215,17.832144,17.911785,15.850667,401464000,5
04/02/2014,18.066071,18.195,17.955715,18.171072,16.080116,376681200,5
05/02/2014,18.091429,18.402857,18.080357,18.306786,16.200216,328344800,5
06/02/2014,18.216429,18.339285,18.136072,18.303928,16.29464,257765200,5
07/02/2014,18.620714,18.676071,18.477858,18.559999,16.522604,370280400,5
10/02/2014,18.523571,18.999643,18.5,18.8925,16.818607,345559200,5
11/02/2014,18.950357,19.205357,18.910715,19.141428,17.040207,282256800,5
12/02/2014,19.176786,19.27,19.044285,19.139999,17.038939,308100800,5
13/02/2014,19.094999,19.458929,19.078571,19.443928,17.309498,307398000,5
14/02/2014,19.373928,19.499287,19.328928,19.428215,17.295509,272924400,5
18/02/2014,19.5,19.685358,19.486071,19.499643,17.359102,260251600,5
19/02/2014,19.455357,19.531786,19.083929,19.191786,17.085035,313768000,5
20/02/2014,19.035357,19.178572,18.892857,18.969643,16.887278,305858000,5
21/02/2014,19.028214,19.091785,18.735714,18.758928,16.699694,278784800,5
24/02/2014,18.683929,18.925714,18.657858,18.841072,16.772821,288909600,5
25/02/2014,18.906429,18.913214,18.607143,18.645,16.598272,231952000,5
26/02/2014,18.700357,18.75,18.414286,18.476786,16.448523,276217200,5
27/02/2014,18.469286,18.885,18.430357,18.845358,16.77664,301882000,5
28/02/2014,18.895714,19.026785,18.647142,18.794285,16.731171,371968800,5
03/03/2014,18.693571,18.951786,18.671785,18.848572,16.779497,238781200,5
04/03/2014,18.964285,19.022858,18.848928,18.972857,16.890142,259140000,5
05/03/2014,18.961428,19.098215,18.897499,19.012857,16.925747,200062800,5
06/03/2014,19.028214,19.087143,18.860714,18.955357,16.874563,185488800,5
07/03/2014,18.967501,18.999287,18.7875,18.944286,16.864702,220729600,5
10/03/2014,18.870001,19.047501,18.869286,18.961428,16.879967,178584000,5
11/03/2014,19.123215,19.240715,19.02107,19.14607,17.044338,279224400,5
12/03/2014,19.089643,19.191071,19,19.164642,17.060869,199326400,5
13/03/2014,19.194286,19.273571,18.898571,18.951786,16.871386,257742800,5
14/03/2014,18.885357,18.960358,18.678572,18.738928,16.68189,237199200,5
17/03/2014,18.846428,18.9275,18.780357,18.812143,16.747066,199544800,5
18/03/2014,18.782143,18.998928,18.757143,18.978571,16.895231,209647200,5
19/03/2014,19.009285,19.151428,18.892857,18.973572,16.890781,224756000,5
20/03/2014,18.924643,19.023928,18.833929,18.882143,16.809385,208398400,5
21/03/2014,18.997499,19.0625,18.797501,19.031071,16.941959,374046400,5
24/03/2014,19.229286,19.303572,19.109285,19.256786,17.142902,355700800,5
25/03/2014,19.339285,19.491072,19.27107,19.463928,17.327301,282293200,5
26/03/2014,19.518572,19.607143,19.245001,19.277857,17.161659,299768000,5
27/03/2014,19.286428,19.339285,19.111429,19.195,17.087896,222031600,5
28/03/2014,19.225714,19.247858,19.080357,19.173571,17.068821,200564000,5
31/03/2014,19.258215,19.314642,19.140358,19.169285,17.065008,168669200,5
01/04/2014,19.205715,19.352501,19.170357,19.344643,17.221111,200760000,5
02/04/2014,19.370714,19.41,19.295,19.376785,17.249729,180420800,5
03/04/2014,19.335358,19.375,19.201429,19.2425,17.130182,162344000,5
04/04/2014,19.278929,19.285715,18.949286,18.993572,16.908585,275251200,5
07/04/2014,18.857857,18.960714,18.638929,18.695356,16.643103,289850400,5
08/04/2014,18.756786,18.790001,18.525,18.694286,16.642149,243888400,5
09/04/2014,18.665714,18.946072,18.643572,18.940001,16.860891,206169600,5
10/04/2014,18.952858,19.008572,18.684643,18.695715,16.643425,239652000,5
11/04/2014,18.535715,18.672501,18.469286,18.557501,16.520378,271717600,5
14/04/2014,18.639286,18.648571,18.471786,18.631428,16.586187,205674000,5
